"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1412","790","true","chrome","116.0.0","false","Mac OS","true","60.71","true","true","browser-check","0","992","0.0-0.0","100","0","25","25","25","25","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","3872","0.0-1.0","100","0","25","25","25","25","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","16830","0.0-2.0","100","0","25","25","25","25","","12904","{""prolific_id"":""6447a78c4b1bef1d4b5b3d44"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","17998","0.0-4.0","100","0","25","25","25","25","","1167","","","[{""page_index"":0,""viewing_time"":1167}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","23537","0.0-5.0-0.0","100","0","25","25","25","25","","5375","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","45519","0.0-7.0","100","0","25","25","25","25","","21981","","","[{""page_index"":0,""viewing_time"":21981}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","46239","0.0-8.0","100","0","25","25","25","25","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","63131","0.0-9.0","100","0","25","25","25","25","","16891"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","101911","0.0-10.0","100","0","25","25","25","25","","103179","{""blackblade"":""25""}","","","","","","","","firstbet","no","native","disfluent","13","blackblade"
"","","","","","","","","","","","audio-survey-input-response","9","129075","0.0-11.0","100","0","25","25","25","25","","130305","{""blackblade"":"""",""apocalypse"":""25""}","","","","","","","","secondbet","no","nonnative","fluent","13","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","10","157141","0.0-12.0","100","0","25","25","25","25","","158344","{""blackblade"":"""",""apocalypse"":"""",""silversky"":""25""}","","","","","","","","thirdbet","no","native","fluent","13","silversky"
"","","","","","","","","","","","audio-survey-input-response","11","198034","0.0-13.0","100","0","25","25","25","25","","199210","{""blackblade"":"""",""apocalypse"":"""",""silversky"":"""",""firewalker"":""25""}","","","","","","","","forthbet","no","nonnative","disfluent","13","firewalker"
"","","","","","","","","","","","instructions","12","201930","0.0-15.0","100","0","25","25","25","25","","3894","","","[{""page_index"":0,""viewing_time"":3894}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","246730","0.0-16.0","100","0","25","25","25","25","","44742","{""P0_Q0"":null,""sociable_native"":6,""friendly_native"":7,""nice_native"":7,""honest_native"":7,""pleasant_native"":7,""P1_Q0"":null,""competent_native"":7,""smart_native"":7,""educated_native"":7,""intelligent_native"":7,""successful_native"":7,""P2_Q0"":null,""trustworthy_native"":7,""easy_native"":7,""fluent_native"":7,""strong_native"":7,""P3_Q0"":null,""irritated_native"":3,""interested_native"":3,""enthusiastic_native"":3,""frustrated_native"":3,""annoyed_native"":3,""happy_native"":7}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","291522","0.0-17.0","100","0","25","25","25","25","","44766","{""P0_Q0"":null,""competent_nonnative"":7,""smart_nonnative"":7,""educated_nonnative"":7,""intelligent_nonnative"":7,""successful_nonnative"":7,""P1_Q0"":null,""irritated_nonnative"":3,""interested_nonnative"":7,""enthusiastic_nonnative"":7,""frustrated_nonnative"":3,""annoyed_nonnative"":3,""happy_nonnative"":7,""P2_Q0"":null,""sociable_nonnative"":7,""friendly_nonnative"":7,""nice_nonnative"":8,""honest_nonnative"":7,""pleasant_nonnative"":7,""P3_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":7,""fluent_nonnative"":7,""strong_nonnative"":9}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","398269","0.0-18.0","100","0","25","25","25","25","","106660","{""P0_Q0"":null,""country_native"":""The north"",""country_nonnative"":""France"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":3,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":2,""naturalness_nonnative"":9,""decision_making"":""evenly, the blurb said to trust them the same"",""P2_Q4"":""how much do you trust accents in different deliveries "",""P2_Q5"":""The instuctions were hidden under the horse images ""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
