"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1536","747","true","chrome","118.0.0","false","Windows 10","true","60","true","true","browser-check","0","1013","0.0-0.0","81","0","40","20","20","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","3507","0.0-1.0","81","0","40","20","20","1","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","14987","0.0-2.0","81","0","40","20","20","1","","11448","{""prolific_id"":""5a3be256fbc64300010a24c5"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","28165","0.0-4.0","81","0","40","20","20","1","","13178","","","[{""page_index"":0,""viewing_time"":13177}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","38967","0.0-5.0-0.0","81","0","40","20","20","1","","10600","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","63877","0.0-7.0","81","0","40","20","20","1","","24909","","","[{""page_index"":0,""viewing_time"":24909}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","64503","0.0-8.0","81","0","40","20","20","1","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","113863","0.0-9.0","81","0","40","20","20","1","","49359","arrowup","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","198362","0.0-10.0","81","0","40","20","20","1","","199447","{""silversky"":""10""}","","","","","","","","firstbet","no","nonnative","disfluent","11","silversky"
"","","","","","","","","","","","audio-survey-input-response","9","231457","0.0-11.0","81","0","40","20","20","1","","232459","{""silversky"":"""",""blackblade"":""20""}","","","","","","","","secondbet","no","native","fluent","11","blackblade"
"","","","","","","","","","","","audio-survey-input-response","10","261931","0.0-12.0","81","0","40","20","20","1","","262899","{""silversky"":"""",""blackblade"":"""",""firewalker"":""20""}","","","","","","","","thirdbet","no","nonnative","fluent","11","firewalker"
"","","","","","","","","","","","audio-survey-input-response","11","309704","0.0-13.0","81","0","40","20","20","1","","310643","{""silversky"":""40"",""blackblade"":"""",""firewalker"":"""",""apocalypse"":""1""}","","","","","","","","forthbet","no","native","disfluent","11","apocalypse"
"","","","","","","","","","","","instructions","12","321255","0.0-15.0","81","0","40","20","20","1","","11549","","","[{""page_index"":0,""viewing_time"":11549}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","421143","0.0-16.0","81","0","40","20","20","1","","99838","{""P0_Q0"":null,""sociable_nonnative"":9,""friendly_nonnative"":9,""nice_nonnative"":9,""honest_nonnative"":9,""pleasant_nonnative"":9,""P1_Q0"":null,""irritated_nonnative"":2,""interested_nonnative"":3,""enthusiastic_nonnative"":3,""frustrated_nonnative"":1,""annoyed_nonnative"":2,""happy_nonnative"":6,""P2_Q0"":null,""competent_nonnative"":8,""smart_nonnative"":8,""educated_nonnative"":7,""intelligent_nonnative"":5,""successful_nonnative"":8,""P3_Q0"":null,""trustworthy_nonnative"":9,""easy_nonnative"":6,""fluent_nonnative"":7,""strong_nonnative"":7}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","489340","0.0-17.0","81","0","40","20","20","1","","68169","{""P0_Q0"":null,""irritated_native"":9,""interested_native"":1,""enthusiastic_native"":1,""frustrated_native"":9,""annoyed_native"":8,""happy_native"":3,""P1_Q0"":null,""competent_native"":1,""smart_native"":2,""educated_native"":2,""intelligent_native"":2,""successful_native"":2,""P2_Q0"":null,""trustworthy_native"":2,""easy_native"":8,""fluent_native"":6,""strong_native"":1,""P3_Q0"":null,""sociable_native"":1,""friendly_native"":1,""nice_native"":1,""honest_native"":2,""pleasant_native"":1}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","665835","0.0-18.0","81","0","40","20","20","1","","176462","{""P0_Q0"":null,""country_native"":""Gloucestershire"",""country_nonnative"":""Spain "",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":1,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":2,""P2_Q0"":null,""naturalness_native"":3,""naturalness_nonnative"":5,""decision_making"":""Amount of information given by the person and how confident they sounded in saying it."",""P2_Q4"":""To determine if the information being given by a native speaker and non native speaker will change the persons decisions. "",""P2_Q5"":""""}","[{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
