"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1440","837","true","safari","14.1.2","false","Mac OS","true","58.03","true","true","browser-check","0","1061","0.0-0.0","100","0","10","25","15","50","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","4494","0.0-1.0","100","0","10","25","15","50","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","25452","0.0-2.0","100","0","10","25","15","50","","20721","{""prolific_id"":""60fd8e0d4e61a99a5cd5e713"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","31408","0.0-4.0","100","0","10","25","15","50","","5953","","","[{""page_index"":0,""viewing_time"":5952}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","36814","0.0-5.0-0.0","100","0","10","25","15","50","","5264","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","56366","0.0-7.0","100","0","10","25","15","50","","19551","","","[{""page_index"":0,""viewing_time"":19551}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","57191","0.0-8.0","100","0","10","25","15","50","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","76934","0.0-9.0","100","0","10","25","15","50","","19738"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","118277","0.0-10.0","100","0","10","25","15","50","","120317","{""silversky"":""10""}","","","","","","","","firstbet","no","nonnative","fluent","22","silversky"
"","","","","","","","","","","","audio-survey-input-response","9","155552","0.0-11.0","100","0","10","25","15","50","","157549","{""silversky"":"""",""apocalypse"":""25""}","","","","","","","","secondbet","no","nonnative","disfluent","22","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","10","184376","0.0-12.0","100","0","10","25","15","50","","186335","{""silversky"":"""",""apocalypse"":"""",""blackblade"":""15""}","","","","","","","","thirdbet","no","native","fluent","22","blackblade"
"","","","","","","","","","","","audio-survey-input-response","11","224010","0.0-13.0","100","0","10","25","15","50","","225939","{""silversky"":"""",""apocalypse"":"""",""blackblade"":"""",""firewalker"":""50""}","","","","","","","","forthbet","no","native","disfluent","22","firewalker"
"","","","","","","","","","","","instructions","12","230788","0.0-15.0","100","0","10","25","15","50","","6775","","","[{""page_index"":0,""viewing_time"":6775}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","291659","0.0-16.0","100","0","10","25","15","50","","60741","{""P0_Q0"":null,""irritated_native"":1,""interested_native"":6,""enthusiastic_native"":8,""frustrated_native"":1,""annoyed_native"":1,""happy_native"":8,""P1_Q0"":null,""trustworthy_native"":7,""easy_native"":9,""fluent_native"":9,""strong_native"":4,""P2_Q0"":null,""competent_native"":7,""smart_native"":6,""educated_native"":5,""intelligent_native"":5,""successful_native"":5,""P3_Q0"":null,""sociable_native"":3,""friendly_native"":6,""nice_native"":3,""honest_native"":7,""pleasant_native"":8}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","336020","0.0-17.0","100","0","10","25","15","50","","44288","{""P0_Q0"":null,""trustworthy_nonnative"":6,""easy_nonnative"":1,""fluent_nonnative"":5,""strong_nonnative"":9,""P1_Q0"":null,""competent_nonnative"":3,""smart_nonnative"":6,""educated_nonnative"":5,""intelligent_nonnative"":5,""successful_nonnative"":5,""P2_Q0"":null,""irritated_nonnative"":6,""interested_nonnative"":2,""enthusiastic_nonnative"":1,""frustrated_nonnative"":5,""annoyed_nonnative"":5,""happy_nonnative"":4,""P3_Q0"":null,""sociable_nonnative"":4,""friendly_nonnative"":6,""nice_nonnative"":5,""honest_nonnative"":5,""pleasant_nonnative"":5}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","406221","0.0-18.0","100","0","10","25","15","50","","70138","{""P0_Q0"":null,""country_native"":""Scotland"",""country_nonnative"":""India"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":4,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":2,""P2_Q0"":null,""naturalness_native"":7,""naturalness_nonnative"":6,""decision_making"":""based on the wording they used and also bearing in mind that I hadn't heard about the other horses yet"",""P2_Q4"":""To see if betting behaviour changes in native vs non native speaking"",""P2_Q5"":""""}","[{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
