"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1352","696","true","chrome","117.0.0","false","Mac OS","true","119.88","true","true","browser-check","0","2705","0.0-0.0","100","0","40","10","30","20","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","5045","0.0-1.0","100","0","40","10","30","20","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","17500","0.0-2.0","100","0","40","10","30","20","","12415","{""prolific_id"":""56d84fd94a9be1000553c1d7"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","26285","0.0-4.0","100","0","40","10","30","20","","8783","","","[{""page_index"":0,""viewing_time"":8783}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","31640","0.0-5.0-0.0","100","0","40","10","30","20","","5248","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","51259","0.0-7.0","100","0","40","10","30","20","","19618","","","[{""page_index"":0,""viewing_time"":19618}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","52010","0.0-8.0","100","0","40","10","30","20","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","76091","0.0-9.0","100","0","40","10","30","20","","24080"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","112579","0.0-10.0","100","0","40","10","30","20","","112887","{""firewalker"":""20""}","","","","","","","","firstbet","no","nonnative","fluent","3","firewalker"
"","","","","","","","","","","","audio-survey-input-response","9","152661","0.0-11.0","100","0","40","10","30","20","","152933","{""firewalker"":"""",""blackblade"":""10""}","","","","","","","","secondbet","no","nonnative","disfluent","3","blackblade"
"","","","","","","","","","","","audio-survey-input-response","10","196565","0.0-12.0","100","0","40","10","30","20","","196796","{""firewalker"":"""",""blackblade"":"""",""silversky"":""20""}","","","","","","","","thirdbet","no","native","disfluent","3","silversky"
"","","","","","","","","","","","audio-survey-input-response","11","238897","0.0-13.0","100","0","40","10","30","20","","239084","{""firewalker"":""40"",""blackblade"":"""",""silversky"":""30"",""apocalypse"":""20""}","","","","","","","","forthbet","no","native","fluent","3","apocalypse"
"","","","","","","","","","","","instructions","12","242989","0.0-15.0","100","0","40","10","30","20","","4090","","","[{""page_index"":0,""viewing_time"":4089}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","280953","0.0-16.0","100","0","40","10","30","20","","37932","{""P0_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":8,""fluent_nonnative"":7,""strong_nonnative"":5,""P1_Q0"":null,""irritated_nonnative"":1,""interested_nonnative"":5,""enthusiastic_nonnative"":5,""frustrated_nonnative"":1,""annoyed_nonnative"":1,""happy_nonnative"":5,""P2_Q0"":null,""sociable_nonnative"":6,""friendly_nonnative"":6,""nice_nonnative"":6,""honest_nonnative"":6,""pleasant_nonnative"":6,""P3_Q0"":null,""competent_nonnative"":8,""smart_nonnative"":8,""educated_nonnative"":8,""intelligent_nonnative"":8,""successful_nonnative"":7}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","322827","0.0-17.0","100","0","40","10","30","20","","41861","{""P0_Q0"":null,""trustworthy_native"":6,""easy_native"":6,""fluent_native"":8,""strong_native"":4,""P1_Q0"":null,""sociable_native"":5,""friendly_native"":5,""nice_native"":5,""honest_native"":7,""pleasant_native"":5,""P2_Q0"":null,""irritated_native"":1,""interested_native"":5,""enthusiastic_native"":5,""frustrated_native"":1,""annoyed_native"":1,""happy_native"":5,""P3_Q0"":null,""competent_native"":6,""smart_native"":6,""educated_native"":6,""intelligent_native"":6,""successful_native"":6}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","408214","0.0-18.0","100","0","40","10","30","20","","85369","{""P0_Q0"":null,""country_native"":""Unsure"",""country_nonnative"":""Amsterdam"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":7,""exposure_n"":7,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":3,""naturalness_nonnative"":2,""decision_making"":""Based on the information but I bet on all as was unsure"",""P2_Q4"":""To see the influence of accents on choice"",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
