"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1536","722","true","chrome","114.0.0","false","Windows 10","true","60.73","true","true","browser-check","0","992","0.0-0.0","65","0","15","5","20","25","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","8980","0.0-1.0","65","0","15","5","20","25","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","32063","0.0-2.0","65","0","15","5","20","25","","23034","{""prolific_id"":""63177eccf7413f061966ef60"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","52865","0.0-4.0","65","0","15","5","20","25","","20795","","","[{""page_index"":0,""viewing_time"":20795}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","64091","0.0-5.0-0.0","65","0","15","5","20","25","","10320","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","116380","0.0-7.0","65","0","15","5","20","25","","52292","","","[{""page_index"":0,""viewing_time"":52292}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","116687","0.0-8.0","65","0","15","5","20","25","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","155160","0.0-9.0","65","0","15","5","20","25","","38473","enter","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","209556","0.0-10.0","65","0","15","5","20","25","","210888","{""firewalker"":""15""}","","","","","","","","firstbet","no","native","disfluent","1","firewalker"
"","","","","","","","","","","","audio-survey-input-response","9","245146","0.0-11.0","65","0","15","5","20","25","","246424","{""firewalker"":"""",""silversky"":""5""}","","","","","","","","secondbet","no","nonnative","fluent","1","silversky"
"","","","","","","","","","","","audio-survey-input-response","10","276007","0.0-12.0","65","0","15","5","20","25","","277250","{""firewalker"":"""",""silversky"":"""",""apocalypse"":""20""}","","","","","","","","thirdbet","no","native","fluent","1","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","11","325117","0.0-13.0","65","0","15","5","20","25","","326329","{""firewalker"":"""",""silversky"":"""",""apocalypse"":"""",""blackblade"":""25""}","","","","","","","","forthbet","no","nonnative","disfluent","1","blackblade"
"","","","","","","","","","","","instructions","12","334985","0.0-15.0","65","0","15","5","20","25","","9865","","","[{""page_index"":0,""viewing_time"":9865}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","451898","0.0-16.0","65","0","15","5","20","25","","116884","{""P0_Q0"":null,""irritated_nonnative"":1,""interested_nonnative"":5,""enthusiastic_nonnative"":4,""frustrated_nonnative"":4,""annoyed_nonnative"":1,""happy_nonnative"":5,""P1_Q0"":null,""sociable_nonnative"":7,""friendly_nonnative"":7,""nice_nonnative"":7,""honest_nonnative"":7,""pleasant_nonnative"":7,""P2_Q0"":null,""trustworthy_nonnative"":5,""easy_nonnative"":2,""fluent_nonnative"":4,""strong_nonnative"":7,""P3_Q0"":null,""competent_nonnative"":7,""smart_nonnative"":7,""educated_nonnative"":6,""intelligent_nonnative"":6,""successful_nonnative"":6}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","528056","0.0-17.0","65","0","15","5","20","25","","76139","{""P0_Q0"":null,""competent_native"":5,""smart_native"":5,""educated_native"":5,""intelligent_native"":5,""successful_native"":5,""P1_Q0"":null,""trustworthy_native"":7,""easy_native"":9,""fluent_native"":9,""strong_native"":5,""P2_Q0"":null,""sociable_native"":5,""friendly_native"":5,""nice_native"":6,""honest_native"":6,""pleasant_native"":7,""P3_Q0"":null,""irritated_native"":1,""interested_native"":5,""enthusiastic_native"":3,""frustrated_native"":1,""annoyed_native"":1,""happy_native"":5}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","658421","0.0-18.0","65","0","15","5","20","25","","130355","{""P0_Q0"":null,""country_native"":""England"",""country_nonnative"":""Spain"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":7,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":6,""naturalness_nonnative"":3,""decision_making"":""confidence in voices"",""P2_Q4"":""judging accents"",""P2_Q5"":""""}","[{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
