"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1440","726","true","safari","16.2.0","false","Mac OS","true","59.94","true","true","browser-check","0","1011","0.0-0.0","90","0","15","20","30","25","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","5208","0.0-1.0","90","0","15","20","30","25","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","19670","0.0-2.0","90","0","15","20","30","25","","14385","{""prolific_id"":""5fbc69b5610c1913f3041a2c"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","36890","0.0-4.0","90","0","15","20","30","25","","17218","","","[{""page_index"":0,""viewing_time"":17217}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","43544","0.0-5.0-0.0","90","0","15","20","30","25","","6360","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","69470","0.0-7.0","90","0","15","20","30","25","","25923","","","[{""page_index"":0,""viewing_time"":25923}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","70413","0.0-8.0","90","0","15","20","30","25","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","99401","0.0-9.0","90","0","15","20","30","25","","28986"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","137537","0.0-10.0","90","0","15","20","30","25","","139618","{""silversky"":""15""}","","","","","","","","firstbet","no","nonnative","fluent","21","silversky"
"","","","","","","","","","","","audio-survey-input-response","9","176371","0.0-11.0","90","0","15","20","30","25","","178413","{""silversky"":"""",""apocalypse"":""20""}","","","","","","","","secondbet","no","nonnative","disfluent","21","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","10","204343","0.0-12.0","90","0","15","20","30","25","","206346","{""silversky"":"""",""apocalypse"":"""",""firewalker"":""30""}","","","","","","","","thirdbet","no","native","fluent","21","firewalker"
"","","","","","","","","","","","audio-survey-input-response","11","243960","0.0-13.0","90","0","15","20","30","25","","245935","{""silversky"":"""",""apocalypse"":"""",""firewalker"":"""",""blackblade"":""25""}","","","","","","","","forthbet","no","native","disfluent","21","blackblade"
"","","","","","","","","","","","instructions","12","247997","0.0-15.0","90","0","15","20","30","25","","4036","","","[{""page_index"":0,""viewing_time"":4036}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","309931","0.0-16.0","90","0","15","20","30","25","","61870","{""P0_Q0"":null,""competent_native"":3,""smart_native"":6,""educated_native"":7,""intelligent_native"":7,""successful_native"":6,""P1_Q0"":null,""trustworthy_native"":7,""easy_native"":2,""fluent_native"":5,""strong_native"":6,""P2_Q0"":null,""irritated_native"":5,""interested_native"":3,""enthusiastic_native"":4,""frustrated_native"":7,""annoyed_native"":6,""happy_native"":3,""P3_Q0"":null,""sociable_native"":7,""friendly_native"":8,""nice_native"":7,""honest_native"":7,""pleasant_native"":8}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","385466","0.0-17.0","90","0","15","20","30","25","","75493","{""P0_Q0"":null,""irritated_nonnative"":3,""interested_nonnative"":5,""enthusiastic_nonnative"":5,""frustrated_nonnative"":5,""annoyed_nonnative"":2,""happy_nonnative"":5,""P1_Q0"":null,""sociable_nonnative"":5,""friendly_nonnative"":4,""nice_nonnative"":6,""honest_nonnative"":6,""pleasant_nonnative"":6,""P2_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":8,""fluent_nonnative"":9,""strong_nonnative"":5,""P3_Q0"":null,""competent_nonnative"":7,""smart_nonnative"":7,""educated_nonnative"":8,""intelligent_nonnative"":8,""successful_nonnative"":7}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","467244","0.0-18.0","90","0","15","20","30","25","","81741","{""P0_Q0"":null,""country_native"":""No"",""country_nonnative"":""England"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":2,""exposure_n"":7,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":5,""naturalness_nonnative"":5,""decision_making"":""I didn't really have a strategy. Just based my bets on the information provided and what I could understand/"",""P2_Q4"":""I'm not sure."",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
