"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1440","783","true","chrome","118.0.0","false","Mac OS","true","60.07","true","true","browser-check","0","1007","0.0-0.0","100","0","15","25","30","30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","2966","0.0-1.0","100","0","15","25","30","30","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","14346","0.0-2.0","100","0","15","25","30","30","","11314","{""prolific_id"":""5d66f49c531d6e0001e99e8a"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","19905","0.0-4.0","100","0","15","25","30","30","","5559","","","[{""page_index"":0,""viewing_time"":5558}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","25341","0.0-5.0-0.0","100","0","15","25","30","30","","5285","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","41033","0.0-7.0","100","0","15","25","30","30","","15690","","","[{""page_index"":0,""viewing_time"":15689}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","41367","0.0-8.0","100","0","15","25","30","30","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","71589","0.0-9.0","100","0","15","25","30","30","","30221","k","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","120789","0.0-10.0","100","0","15","25","30","30","","123006","{""silversky"":""15""}","","","","","","","","firstbet","no","nonnative","disfluent","2","silversky"
"","","","","","","","","","","","audio-survey-input-response","9","162056","0.0-11.0","100","0","15","25","30","30","","164225","{""silversky"":"""",""firewalker"":""25""}","","","","","","","","secondbet","no","native","disfluent","2","firewalker"
"","","","","","","","","","","","audio-survey-input-response","10","189762","0.0-12.0","100","0","15","25","30","30","","191890","{""silversky"":"""",""firewalker"":"""",""blackblade"":""30""}","","","","","","","","thirdbet","no","nonnative","fluent","2","blackblade"
"","","","","","","","","","","","audio-survey-input-response","11","216680","0.0-13.0","100","0","15","25","30","30","","218780","{""silversky"":"""",""firewalker"":"""",""blackblade"":"""",""apocalypse"":""30""}","","","","","","","","forthbet","no","native","fluent","2","apocalypse"
"","","","","","","","","","","","instructions","12","218892","0.0-15.0","100","0","15","25","30","30","","2209","","","[{""page_index"":0,""viewing_time"":2208}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","268718","0.0-16.0","100","0","15","25","30","30","","49767","{""P0_Q0"":null,""competent_native"":6,""smart_native"":6,""educated_native"":7,""intelligent_native"":7,""successful_native"":6,""P1_Q0"":null,""trustworthy_native"":6,""easy_native"":7,""fluent_native"":8,""strong_native"":7,""P2_Q0"":null,""irritated_native"":2,""interested_native"":6,""enthusiastic_native"":6,""frustrated_native"":2,""annoyed_native"":2,""happy_native"":5,""P3_Q0"":null,""sociable_native"":5,""friendly_native"":6,""nice_native"":6,""honest_native"":7,""pleasant_native"":6}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","316531","0.0-17.0","100","0","15","25","30","30","","47786","{""P0_Q0"":null,""irritated_nonnative"":3,""interested_nonnative"":5,""enthusiastic_nonnative"":5,""frustrated_nonnative"":3,""annoyed_nonnative"":2,""happy_nonnative"":5,""P1_Q0"":null,""competent_nonnative"":6,""smart_nonnative"":6,""educated_nonnative"":6,""intelligent_nonnative"":7,""successful_nonnative"":6,""P2_Q0"":null,""sociable_nonnative"":7,""friendly_nonnative"":7,""nice_nonnative"":7,""honest_nonnative"":7,""pleasant_nonnative"":6,""P3_Q0"":null,""trustworthy_nonnative"":6,""easy_nonnative"":4,""fluent_nonnative"":6,""strong_nonnative"":7}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","398879","0.0-18.0","100","0","15","25","30","30","","82320","{""P0_Q0"":null,""country_native"":""England"",""country_nonnative"":""France"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":5,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":6,""naturalness_nonnative"":6,""decision_making"":""I listened closely to what the speakers said about the horses and what i could understand, and also how confident they sounded"",""P2_Q4"":""To see if people are biased towards people with different accents"",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
