"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1920","931","true","chrome","117.0.0","false","Windows 10","true","60.1","false","true","browser-check","0","1001","0.0-0.0","55","0","10","15","10","20","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","3645","0.0-1.0","55","0","10","15","10","20","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","20705","0.0-2.0","55","0","10","15","10","20","","17027","{""prolific_id"":""634d722ed315c4c88a998f9c"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","32501","0.0-4.0","55","0","10","15","10","20","","11796","","","[{""page_index"":0,""viewing_time"":11796}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","40974","0.0-5.0-0.0","55","0","10","15","10","20","","8400","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","71990","0.0-7.0","55","0","10","15","10","20","","31016","","","[{""page_index"":0,""viewing_time"":31016}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","72469","0.0-8.0","55","0","10","15","10","20","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","104672","0.0-9.0","55","0","10","15","10","20","","32202"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","156394","0.0-10.0","55","0","10","15","10","20","","156983","{""silversky"":""10""}","","","","","","","","firstbet","no","native","disfluent","17","silversky"
"","","","","","","","","","","","audio-survey-input-response","9","184819","0.0-11.0","55","0","10","15","10","20","","185356","{""silversky"":"""",""firewalker"":""15""}","","","","","","","","secondbet","no","native","fluent","17","firewalker"
"","","","","","","","","","","","audio-survey-input-response","10","227236","0.0-12.0","55","0","10","15","10","20","","227745","{""silversky"":"""",""firewalker"":"""",""blackblade"":""10""}","","","","","","","","thirdbet","no","nonnative","disfluent","17","blackblade"
"","","","","","","","","","","","audio-survey-input-response","11","257053","0.0-13.0","55","0","10","15","10","20","","257520","{""silversky"":"""",""firewalker"":"""",""blackblade"":"""",""apocalypse"":""20""}","","","","","","","","forthbet","no","nonnative","fluent","17","apocalypse"
"","","","","","","","","","","","instructions","12","266029","0.0-15.0","55","0","10","15","10","20","","8975","","","[{""page_index"":0,""viewing_time"":8975}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","328479","0.0-16.0","55","0","10","15","10","20","","62426","{""P0_Q0"":null,""competent_nonnative"":6,""smart_nonnative"":7,""educated_nonnative"":7,""intelligent_nonnative"":6,""successful_nonnative"":6,""P1_Q0"":null,""trustworthy_nonnative"":6,""easy_nonnative"":6,""fluent_nonnative"":6,""strong_nonnative"":7,""P2_Q0"":null,""irritated_nonnative"":4,""interested_nonnative"":4,""enthusiastic_nonnative"":4,""frustrated_nonnative"":5,""annoyed_nonnative"":4,""happy_nonnative"":5,""P3_Q0"":null,""sociable_nonnative"":6,""friendly_nonnative"":6,""nice_nonnative"":6,""honest_nonnative"":5,""pleasant_nonnative"":6}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","384295","0.0-17.0","55","0","10","15","10","20","","55802","{""P0_Q0"":null,""irritated_native"":7,""interested_native"":2,""enthusiastic_native"":2,""frustrated_native"":6,""annoyed_native"":7,""happy_native"":2,""P1_Q0"":null,""sociable_native"":2,""friendly_native"":2,""nice_native"":2,""honest_native"":5,""pleasant_native"":3,""P2_Q0"":null,""trustworthy_native"":5,""easy_native"":6,""fluent_native"":8,""strong_native"":7,""P3_Q0"":null,""competent_native"":5,""smart_native"":5,""educated_native"":6,""intelligent_native"":6,""successful_native"":5}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","471694","0.0-18.0","55","0","10","15","10","20","","87382","{""P0_Q0"":null,""country_native"":""Not sure"",""country_nonnative"":""Somewhere in Poland"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":9,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":5,""naturalness_nonnative"":5,""decision_making"":""Almost completely randomly."",""P2_Q4"":"""",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
