"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1536","695","true","chrome","118.0.0","false","Windows 10","true","60.21","true","true","browser-check","0","1006","0.0-0.0","100","0","8","22","35","35","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","3393","0.0-1.0","100","0","8","22","35","35","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","80678","0.0-2.0","100","0","8","22","35","35","","77225","{""prolific_id"":""5f5573ac6ef59e93e519155b"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","85824","0.0-4.0","100","0","8","22","35","35","","5144","","","[{""page_index"":0,""viewing_time"":5143}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","94798","0.0-5.0-0.0","100","0","8","22","35","35","","8829","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","116263","0.0-7.0","100","0","8","22","35","35","","21460","","","[{""page_index"":0,""viewing_time"":21459}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","116766","0.0-8.0","100","0","8","22","35","35","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","132190","0.0-9.0","100","0","8","22","35","35","","15422","j","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","178177","0.0-10.0","100","0","8","22","35","35","","184915","{""blackblade"":""8""}","","","","","","","","firstbet","no","nonnative","fluent","24","blackblade"
"","","","","","","","","","","","audio-survey-input-response","9","211902","0.0-11.0","100","0","8","22","35","35","","218595","{""blackblade"":"""",""silversky"":""22""}","","","","","","","","secondbet","no","native","fluent","24","silversky"
"","","","","","","","","","","","audio-survey-input-response","10","289082","0.0-12.0","100","0","8","22","35","35","","295742","{""blackblade"":"""",""silversky"":"""",""apocalypse"":""35""}","","","","","","","","thirdbet","no","nonnative","disfluent","24","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","11","331620","0.0-13.0","100","0","8","22","35","35","","338203","{""blackblade"":"""",""silversky"":"""",""apocalypse"":"""",""firewalker"":""35""}","","","","","","","","forthbet","no","native","disfluent","24","firewalker"
"","","","","","","","","","","","instructions","12","336680","0.0-15.0","100","0","8","22","35","35","","5057","","","[{""page_index"":0,""viewing_time"":5057}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","389049","0.0-16.0","100","0","8","22","35","35","","52316","{""P0_Q0"":null,""trustworthy_native"":7,""easy_native"":7,""fluent_native"":7,""strong_native"":8,""P1_Q0"":null,""irritated_native"":3,""interested_native"":5,""enthusiastic_native"":5,""frustrated_native"":3,""annoyed_native"":3,""happy_native"":5,""P2_Q0"":null,""competent_native"":5,""smart_native"":5,""educated_native"":6,""intelligent_native"":6,""successful_native"":5,""P3_Q0"":null,""sociable_native"":5,""friendly_native"":6,""nice_native"":7,""honest_native"":7,""pleasant_native"":5}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","436206","0.0-17.0","100","0","8","22","35","35","","47137","{""P0_Q0"":null,""irritated_nonnative"":7,""interested_nonnative"":6,""enthusiastic_nonnative"":5,""frustrated_nonnative"":8,""annoyed_nonnative"":6,""happy_nonnative"":3,""P1_Q0"":null,""competent_nonnative"":6,""smart_nonnative"":7,""educated_nonnative"":7,""intelligent_nonnative"":7,""successful_nonnative"":7,""P2_Q0"":null,""trustworthy_nonnative"":6,""easy_nonnative"":2,""fluent_nonnative"":4,""strong_nonnative"":7,""P3_Q0"":null,""sociable_nonnative"":7,""friendly_nonnative"":7,""nice_nonnative"":7,""honest_nonnative"":7,""pleasant_nonnative"":6}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","549171","0.0-18.0","100","0","8","22","35","35","","112928","{""P0_Q0"":null,""country_native"":""UK"",""country_nonnative"":""Somewhere in Europe, maybe Spain though I'd need to listen again- couldn't really understand much she was saying thp"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":4,""exposure_n"":8,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":4,""naturalness_nonnative"":5,""decision_making"":""Honestly it was a little random as I couldn't understand the non-native speaker very well"",""P2_Q4"":""To see if we bet more when the speaker is native"",""P2_Q5"":""Couldn#t understand non native woman so didn't know what to bet""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
