"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1440","783","true","chrome","117.0.0","false","Mac OS","true","60.19","true","true","browser-check","0","1007","0.0-0.0","100","0","20","30","30","20","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","4733","0.0-1.0","100","0","20","30","30","20","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","19085","0.0-2.0","100","0","20","30","30","20","","14292","{""prolific_id"":""63ea8ec521931832f4b6b7cb"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","20779","0.0-4.0","100","0","20","30","30","20","","1694","","","[{""page_index"":0,""viewing_time"":1693}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","25991","0.0-5.0-0.0","100","0","20","30","30","20","","4949","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","34130","0.0-7.0","100","0","20","30","30","20","","8137","","","[{""page_index"":0,""viewing_time"":8137}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","35587","0.0-8.0","100","0","20","30","30","20","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","48902","0.0-9.0","100","0","20","30","30","20","","13313"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","89048","0.0-10.0","100","0","20","30","30","20","","98859","{""blackblade"":""20""}","","","","","","","","firstbet","no","native","fluent","11","blackblade"
"","","","","","","","","","","","audio-survey-input-response","9","130589","0.0-11.0","100","0","20","30","30","20","","140357","{""blackblade"":"""",""apocalypse"":""30""}","","","","","","","","secondbet","no","native","disfluent","11","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","10","171980","0.0-12.0","100","0","20","30","30","20","","181706","{""blackblade"":"""",""apocalypse"":"""",""silversky"":""30""}","","","","","","","","thirdbet","no","nonnative","disfluent","11","silversky"
"","","","","","","","","","","","audio-survey-input-response","11","198106","0.0-13.0","100","0","20","30","30","20","","207789","{""blackblade"":"""",""apocalypse"":"""",""silversky"":"""",""firewalker"":""20""}","","","","","","","","forthbet","no","nonnative","fluent","11","firewalker"
"","","","","","","","","","","","instructions","12","200373","0.0-15.0","100","0","20","30","30","20","","2265","","","[{""page_index"":0,""viewing_time"":2264}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","240139","0.0-16.0","100","0","20","30","30","20","","39705","{""P0_Q0"":null,""trustworthy_native"":5,""easy_native"":8,""fluent_native"":8,""strong_native"":6,""P1_Q0"":null,""irritated_native"":4,""interested_native"":5,""enthusiastic_native"":5,""frustrated_native"":3,""annoyed_native"":4,""happy_native"":5,""P2_Q0"":null,""sociable_native"":3,""friendly_native"":3,""nice_native"":3,""honest_native"":4,""pleasant_native"":5,""P3_Q0"":null,""competent_native"":5,""smart_native"":7,""educated_native"":6,""intelligent_native"":6,""successful_native"":6}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","277106","0.0-17.0","100","0","20","30","30","20","","36939","{""P0_Q0"":null,""irritated_nonnative"":3,""interested_nonnative"":6,""enthusiastic_nonnative"":6,""frustrated_nonnative"":4,""annoyed_nonnative"":4,""happy_nonnative"":6,""P1_Q0"":null,""sociable_nonnative"":6,""friendly_nonnative"":7,""nice_nonnative"":6,""honest_nonnative"":6,""pleasant_nonnative"":5,""P2_Q0"":null,""competent_nonnative"":7,""smart_nonnative"":8,""educated_nonnative"":6,""intelligent_nonnative"":6,""successful_nonnative"":7,""P3_Q0"":null,""trustworthy_nonnative"":6,""easy_nonnative"":6,""fluent_nonnative"":7,""strong_nonnative"":8}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","347343","0.0-18.0","100","0","20","30","30","20","","70198","{""P0_Q0"":null,""country_native"":""North"",""country_nonnative"":""Italy"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":3,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":7,""naturalness_nonnative"":8,""decision_making"":""How confident the bookies sounded plus the performance described of the horses"",""P2_Q4"":""Do we find native speakers/familiar accents more trustworthy"",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
